Time,Modified_Signal
0.0,-2.6448746792079048e-05
0.001,-2.801385482997596e-05
0.002,-2.9552094972857426e-05
0.003,-3.0988959846844444e-05
0.004,-3.126082620130919e-05
0.005,-3.151829107494123e-05
0.006,-3.192849421970314e-05
0.007,-3.297631125649724e-05
0.008,-3.27643937569148e-05
0.009,-3.121212154544179e-05
0.01,-3.0053611312907747e-05
0.011,-2.953498770621258e-05
0.012,-2.8711163823043872e-05
0.013,-2.7742395105757397e-05
0.014,-2.6890863952414948e-05
0.015,-2.4617524153714266e-05
0.016,-2.1779388670126973e-05
0.017,-2.0627386875564026e-05
0.018,-1.9304854623868087e-05
0.019,-1.824665888922896e-05
0.02,-1.7778904299479785e-05
0.021,-1.631912649788827e-05
0.022,-1.5776850223200362e-05
0.023,-1.3954379719510791e-05
0.024,-1.404769508401357e-05
0.025,-1.5247348159122737e-05
0.026,-1.5139281854709636e-05
0.027,-1.5205532655601217e-05
0.028,-1.4224812440350085e-05
0.029,-1.4672997722976095e-05
0.03,-1.5523577907687698e-05
0.031,-1.7648126223300625e-05
0.032,-2.1516856327947342e-05
0.033,-2.3899314470853254e-05
0.034,-2.3465233506842378e-05
0.035,-2.328554428929785e-05
0.036,-2.4833506290636884e-05
0.037,-2.7685887435932062e-05
0.038,-2.7524097683986018e-05
0.039,-2.643516577047248e-05
0.04,-2.6712446495231542e-05
0.041,-2.595595822588832e-05
0.042,-2.5472276431525134e-05
0.043,-2.5473946881373444e-05
0.044,-2.6778427971969634e-05
0.045,-2.6306620683609207e-05
0.046,-2.4881091499680057e-05
0.047,-2.342413281429257e-05
0.048,-2.365583205628689e-05
0.049,-2.5592331273226137e-05
0.05,-2.4444451151325908e-05
0.051,-2.3816827191722597e-05
0.052,-2.3607662799197595e-05
0.053,-2.4109148010614414e-05
0.054,-2.490852868382991e-05
0.055,-2.428974541748305e-05
0.056,-2.3135500937413808e-05
0.057,-2.3029565568462122e-05
0.058,-2.3259098179981894e-05
0.059,-2.2816748589055134e-05
0.06,-2.2502318783523998e-05
0.061,-2.222379420042083e-05
0.062,-2.189761009714435e-05
0.063,-2.0148087132279108e-05
0.064,-1.8406048309946402e-05
0.065,-1.8106709038891964e-05
0.066,-1.7087005456644516e-05
0.067,-1.678258601742168e-05
0.068,-1.71247314356933e-05
0.069,-1.6337484001323323e-05
0.07,-1.5635256888110663e-05
0.071,-1.5721157739286037e-05
0.072,-1.648620143881318e-05
