Time,Modified_Signal
0.0,-2.371104711381558e-05
0.001,-2.441602640528388e-05
0.002,-2.52053182467125e-05
0.003,-2.6064666995992593e-05
0.004,-2.5980633571499198e-05
0.005,-2.6140917861311353e-05
0.006,-2.6734645589148423e-05
0.007,-2.8252611513398004e-05
0.008,-2.87874722863245e-05
0.009,-2.823388395070844e-05
0.01,-2.8288580844600605e-05
0.011,-2.915039456113887e-05
0.012,-2.982021350684602e-05
0.013,-3.0400885455829786e-05
0.014,-3.10970672482543e-05
0.015,-3.0315027372856623e-05
0.016,-2.886240855464906e-05
0.017,-2.8947958597408553e-05
0.018,-2.8681238572252843e-05
0.019,-2.8472317974738582e-05
0.02,-2.863146668043933e-05
0.021,-2.7568853410896145e-05
0.022,-2.7194259987204617e-05
0.023,-2.5316819916900002e-05
0.024,-2.5144788860572072e-05
0.025,-2.588535329576513e-05
0.026,-2.5144482282392223e-05
0.027,-2.442682568688752e-05
0.028,-2.253566059616907e-05
0.029,-2.1972886003545025e-05
0.03,-2.1739064233208934e-05
0.031,-2.2733506042104475e-05
0.032,-2.545439494797791e-05
0.033,-2.669894512508194e-05
0.034,-2.5163586221927117e-05
0.035,-2.394416771814593e-05
0.036,-2.453617497027944e-05
0.037,-2.6534948909776296e-05
0.038,-2.563590145147972e-05
0.039,-2.3934719038378817e-05
0.04,-2.372754737014374e-05
0.041,-2.261115121217815e-05
0.042,-2.1883044224416074e-05
0.043,-2.174158494457389e-05
0.044,-2.2986036364161028e-05
0.045,-2.2516587899439162e-05
0.046,-2.11343399346734e-05
0.047,-1.9741252452946263e-05
0.048,-2.004006052424149e-05
0.049,-2.2034160549004253e-05
0.05,-2.0927472120745894e-05
0.051,-2.0324281142752237e-05
0.052,-2.0129070388274717e-05
0.053,-2.0646344015562563e-05
0.054,-2.1480452632073926e-05
0.055,-2.0935425348123715e-05
0.056,-1.991481487939785e-05
0.057,-2.0021561168345733e-05
0.058,-2.0557878221673413e-05
0.059,-2.052516793624811e-05
0.06,-2.0723963644739035e-05
0.061,-2.10539049947379e-05
0.062,-2.1413744622352605e-05
0.063,-2.0401385935211574e-05
0.064,-1.941395022124369e-05
0.065,-1.984787028678451e-05
0.066,-1.9499006934943546e-05
0.067,-1.97627838521881e-05
0.068,-2.0534335901237703e-05
0.069,-2.000866543841328e-05
0.07,-1.9380801093179952e-05
0.071,-1.9345953469030053e-05
0.072,-1.9799662443043042e-05
0.073,-2.2637931144423583e-05
0.074,-2.2957342261656422e-05
0.075,-2.1455153039616597e-05
0.076,-2.202936615340646e-05
0.077,-2.2378774552738037e-05
0.078,-2.1202979324967385e-05
0.079,-2.070238059108525e-05
0.08,-2.127814239209024e-05
0.081,-2.0932133409838314e-05
0.082,-2.0566846166091052e-05
0.083,-2.048529802933402e-05
0.084,-2.0590917909003232e-05
0.085,-2.0987422914481126e-05
0.086,-2.0478689490966806e-05
0.087,-1.9668623611639055e-05
0.088,-1.8461034507176283e-05
0.089,-1.675951615744595e-05
0.09,-1.9067340369385677e-05
0.091,-1.788736473809669e-05
0.092,-1.5021958157471527e-05
0.093,-1.8072945838040955e-05
0.094,-1.8741575031148094e-05
0.095,-1.8228501879167005e-05
0.096,-1.7533799040443196e-05
0.097,-1.8156983003055593e-05
0.098,-1.9997059329420007e-05
0.099,-1.8052583487215968e-05
0.1,-1.5621734440383315e-05
0.101,-1.5202397811846e-05
0.102,-1.5892255197166123e-05
0.103,-1.538887611037166e-05
0.104,-1.49898090794271e-05
0.105,-1.5992668573871062e-05
0.106,-1.459521473096537e-05
0.107,-1.4195423235000192e-05
0.108,-1.4891543179328893e-05
0.109,-1.43821412816048e-05
0.11,-1.3966131406958372e-05
0.111,-1.4142788957844649e-05
0.112,-1.4511750289265108e-05
0.113,-1.6172997881085692e-05
0.114,-1.5726832523966633e-05
0.115,-1.40738342331687e-05
0.116,-1.3814813979497398e-05
0.117,-1.395075860682565e-05
0.118,-1.5682771482955556e-05
0.119,-1.3812011501230426e-05
0.12,-1.2039633014759445e-05
0.121,-1.2766729147994339e-05
0.122,-1.2894280700193226e-05
0.123,-1.432311254396283e-05
0.124,-1.2453859044414404e-05
0.125,-9.58693959756398e-06
0.126,-9.3225449290261e-06
0.127,-9.460634325096334e-06
0.128,-9.900943507246192e-06
0.129,-8.343002426306815e-06
0.13,-8.486161861101558e-06
0.131,-9.729627372736558e-06
0.132,-1.0472498902195654e-05
0.133,-1.0713814114194086e-05
0.134,-1.0252593489887615e-05
