0,-2.67E-05
0.001,-2.95E-05
0.002,-3.21E-05
0.003,-3.44E-05
0.004,-3.51E-05
0.005,-3.55E-05
0.006,-3.59E-05
0.007,-3.67E-05
0.008,-3.62E-05
0.009,-3.46E-05
0.01,-3.36E-05
0.011,-3.36E-05
0.012,-3.36E-05
0.013,-3.39E-05
0.014,-3.46E-05
0.015,-3.40E-05
0.016,-3.29E-05
0.017,-3.32E-05
0.018,-3.31E-05
0.019,-3.28E-05
0.02,-3.27E-05
0.021,-3.12E-05
0.022,-3.01E-05
0.023,-2.75E-05
0.024,-2.67E-05
0.025,-2.69E-05
0.026,-2.58E-05
0.027,-2.51E-05
0.028,-2.34E-05
0.029,-2.33E-05
0.03,-2.37E-05
0.031,-2.52E-05
0.032,-2.83E-05
0.033,-2.97E-05
0.034,-2.79E-05
0.035,-2.59E-05
0.036,-2.53E-05
0.037,-2.57E-05
0.038,-2.28E-05
0.039,-1.90E-05
0.04,-1.67E-05
0.041,-1.35E-05
0.042,-1.09E-05
0.043,-9.29E-06
0.044,-9.39E-06
0.045,-8.16E-06
0.046,-6.36E-06
0.047,-4.86E-06
0.048,-5.29E-06
0.049,-7.60E-06
0.05,-6.97E-06
0.051,-6.97E-06
0.052,-7.51E-06
0.053,-8.91E-06
0.054,-1.08E-05
0.055,-1.15E-05
0.056,-1.20E-05
0.057,-1.37E-05
0.058,-1.61E-05
0.059,-1.79E-05
0.06,-1.99E-05
0.061,-2.19E-05
0.062,-2.36E-05
0.063,-2.35E-05
0.064,-2.31E-05
0.065,-2.36E-05
0.066,-2.30E-05
0.067,-2.26E-05
0.068,-2.26E-05
0.069,-2.12E-05
0.07,-1.98E-05
0.071,-1.93E-05
0.072,-1.96E-05
0.073,-2.28E-05
0.074,-2.39E-05
0.075,-2.35E-05
0.076,-2.56E-05
0.077,-2.76E-05
0.078,-2.82E-05
0.079,-2.93E-05
0.08,-3.12E-05
0.081,-3.20E-05
0.082,-3.24E-05
0.083,-3.28E-05
0.084,-3.30E-05
0.085,-3.34E-05
0.086,-3.27E-05
0.087,-3.17E-05
0.088,-3.03E-05
0.089,-2.84E-05
