Time,Modified_Signal
0.0,0.00021423407315333286
0.008,0.00022597169143057883
0.016,0.00023551230853098484
0.024,0.00023857854344340443
0.032,0.0002711313484027427
0.04,0.000386124248719358
0.048,0.0004919651698230514
0.056,0.0005585501360580959
0.064,0.0004480088823926614
0.072,0.00010709177570449557
0.08,4.519075621483289e-05
0.088,0.00014379525987928647
0.096,0.00016329341218407594
0.104,0.00018205908760059175
0.112,0.00018661407819107063
0.12,0.00019780204972992657
0.128,0.0002076868456940567
0.136,0.00022859903616215092
0.144,0.0002402815391552399
0.152,0.0002494660180552913
0.16,0.0002613842370673231
0.168,0.0002760780537810417
0.176,0.0002761103788052594
0.184,0.00028402338411429446
0.192,0.00027993647825978914
0.2,0.00028203851391127034
0.208,0.00027610768413179304
0.216,0.00026394411261957415
0.224,0.00024956700591438613
0.232,0.00023099398373226435
0.24,0.0002206457842456867
0.248,0.00020388425613542818
0.256,0.0001885610836331749
0.264,0.00018278692762789975
0.272,0.00017522323091598914
0.28,0.00016083626486239274
0.288,0.0001437445579809304
0.296,0.00013160139187348748
0.304,0.00012314336030868134
0.312,0.00011427621799227861
0.32,0.00011761479497411642
0.328,0.0001272962058746422
0.336,0.0001389563196061191
0.344,0.0001631810898943167
0.352,0.00019012297265773827
0.36,0.00021206559503128116
0.368,0.00022813896179621192
0.376,0.00023872335088626176
0.384,0.00024325700686106172
0.392,0.00024101225804401566
0.4,0.00023813858360830281
0.408,0.00023763586690100154
0.416,0.00023164354168029618
0.424,0.00022509761524278185
0.432,0.00022253700061498967
0.44,0.000212783512167849
0.448,0.00020938545307546002
0.456,0.0002072751422084612
0.464,0.0002137797363840441
0.472,0.0002278262159830683
0.48,0.00026555234709123385
0.488,0.0003010236688841347
0.496,0.00031956625142409625
0.504,0.00034221591650854434
0.512,0.000392333623807685
0.52,0.0004210068949525758
0.528,0.000413132853056539
0.536,0.0003942981252064689
0.544,0.00035001679894810616
0.552,0.00032197469646022135
0.56,0.0003207854509940562
0.568,0.0002861622274180144
0.576,0.00021898909303593177
0.584,0.00017096434965065683
0.592,0.00014108971058573368
0.6,0.00012129602991711285
0.608,9.741048435454015e-05
0.616,9.2582117273049e-05
0.624,7.307182644769417e-05
0.632,7.909883112346323e-05
0.64,7.921993200078718e-05
0.648,8.605504510365528e-05
0.656,8.912802727223623e-05
0.664,0.00010871204040508933
0.672,0.00014433867352345152
0.68,0.0002785720102230732
0.688,0.00040861796627872816
0.696,0.0005061815060179429
0.704,0.0004888135263805438
0.712,7.937019626766952e-05
0.72,4.837518738288837e-05
0.728,0.00013554211420458573
0.736,0.0001548278832625503
0.744,0.00017452442769684665
0.752,0.00017498113194235342
0.76,0.0001733840728653178
0.768,0.00018306898866271172
0.776,0.000175814176766917
0.784,0.00017637133112376885
0.792,0.00017924527797273806
0.8,0.00018785687732075868
0.808,0.00018905134903458398
0.816,0.00020249753028746116
0.824,0.00020768097347599113
0.832,0.00023126730296040514
0.84,0.00023645659109432332
0.848,0.000251326751795588
0.856,0.0002735149100137229
0.864,0.00028539469520212646
0.872,0.0002898045679749829
0.88,0.0002977448041076862
0.888,0.00030774513073438035
0.896,0.0003110078047178433
0.904,0.0003059981181380081
0.912,0.0002927129538077092
0.92,0.000270795106507123
0.928,0.00025235215182429
0.936,0.00022548203020889042
0.944,0.00018643202476761165
0.952,0.00015434748608751328
0.96,0.00013284564011913885
0.968,0.00011965171177460757
0.976,0.00011860913018529896
0.984,0.00012970207782606472
0.992,0.00014793559068696405
1.0,0.00016516245362903476
1.008,0.00017685286275957067
1.016,0.00019347319902706043
1.024,0.00019538046597637943
1.032,0.00020945671325816673
1.04,0.00021949849276269642
1.048,0.0002266881671160647
1.056,0.00023297849736128286
1.064,0.00023622669084172033
1.072,0.0002353741687546435
1.08,0.00024255668999043775
1.088,0.00023982463975512748
1.096,0.00023536676884001925
1.104,0.0002313279604582431
1.112,0.0002277420351744214
1.12,0.0002535589558498553
1.128,0.00028051753917327643
1.136,0.00028222277270096685
1.144,0.0002852618850243701
1.152,0.0003458010476807124
1.16,0.0003571752339451985
1.168,0.0003700502033267889
1.176,0.00033282240591467924
1.184,0.00029912952724149995
1.192,0.000283042557079835
1.2,0.0002973953022881555
1.208,0.00026333576141791533
1.216,0.00021817558316658667
1.224,0.00018690390121635893
1.232,0.00018129206911910535
1.24,0.00016108746898066078
1.248,0.00015920074668742323
1.256,0.00014662634815346893
1.264,0.0001460364618841461
1.272,0.00013514392021653972
1.28,0.00013716658052381655
1.288,0.00013046570386670444
1.296,0.00012212112390729287
1.304,0.0001249150483676994
1.312,0.00014889363230739051
1.32,0.00027609987549683424
1.328,0.00039922259220880724
1.336,0.0004931868180647955
1.344,0.00035719631460853616
1.352,2.849982384760452e-05
1.36,4.292765683873424e-05
1.368,0.0001302502818197052
1.376,0.00014267682403780685
1.384,0.00017732274121401946
1.392,0.0001733492781317385
1.4,0.00017461532380450934
1.408,0.0001795800111609194
1.416,0.00019435748458911011
1.424,0.00019996654720801836
1.432,0.0002079943319850764
1.44,0.00020533199847627486
1.448,0.00021001103192322995
1.456,0.00021062120552175947
1.464,0.00021518054302534955
1.472,0.00021688665914982143
1.48,0.000223177767497878
1.488,0.00022677294996471188
1.496,0.00023574179025259178
1.504,0.00024106888522218528
1.512,0.000253466665791056
1.52,0.00026594586731019736
1.528,0.0002782424476519466
1.536,0.0002836106024853428
1.544,0.0002872196012782977
1.552,0.000290613765899267
1.56,0.00027335654010574766
1.568,0.00026457327036056
1.576,0.0002436523633885822
1.584,0.00022484235769785473
1.592,0.0001906292463809497
1.6,0.00017422825039698398
1.608,0.00016178596641037077
1.616,0.00015712684858476726
1.624,0.00016417079696230599
1.632,0.0001789880115136842
1.64,0.0001749170795315904
1.648,0.00018098196576976254
1.656,0.00017771452223506844
1.664,0.0001760445031458907
1.672,0.0001756312013147839
1.68,0.00017536409331110655
1.688,0.00017407327205877916
1.696,0.00017765596640868637
1.704,0.00018422558018261627
1.712,0.0001875140673235413
1.72,0.00019430981235535447
1.728,0.00019647302168818392
1.736,0.0002010840735753235
1.744,0.0002139537496544483
1.752,0.00022175047692884567
1.76,0.0002561200191832446
1.768,0.00028377369244665147
1.776,0.00028327871004904905
1.784,0.00030914868578001055
1.792,0.000348236807766181
1.8,0.00036365206049651677
1.808,0.0003435063889786558
1.816,0.00032201666751274105
1.824,0.0002809911481751992
1.832,0.0002796115218443511
1.84,0.00028998804028831384
1.848,0.000246145684235166
1.856,0.00019937828323615363
1.864,0.00018391518913903635
1.872,0.0001840013284031086
1.88,0.00018155447678420611
1.888,0.00017024404702522844
1.896,0.00017962225438115882
1.904,0.0001897870979564959
1.912,0.00018664908987931628
1.92,0.00018496342421116916
1.928,0.00019374055350175292
1.936,0.00019663193473142665
1.944,0.00020631446174438733
1.952,0.0002559529601989934
1.96,0.0003785280248910406
1.968,0.0005122944933828204
1.976,0.0006255202552514089
1.984,0.0004347872792407155
1.992,0.0001243632332416071
2.0,0.00016379815349742375
2.008,0.00021104188780351113
2.016,0.00019335113719954467
2.024,0.00019691675569752498
2.032,0.00019310373761488087
2.04,0.00018775119566951097
2.048,0.0001923387852327722
2.056,0.00019470016393631528
2.064,0.0002002672631051244
2.072,0.00019917896162176003
2.08,0.0001999832814452043
2.088,0.00020282146799666836
2.096,0.0002065467944669162
2.104,0.0002098194437643637
2.112,0.000223180216177676
2.12,0.00023077351994385545
2.128,0.00021860117228505107
2.136,0.00022945261710353946
2.144,0.00023700436853580988
2.152,0.000243221216662371
2.16,0.00024251045195321707
2.168,0.00025111005713911264
2.176,0.00025306067006788794
2.184,0.00024547150016516084
2.192,0.0002474590139360109
2.2,0.00023306903717198093
2.208,0.00021260346203869545
2.216,0.00018708928033573993
2.224,0.00016540828292422945
2.232,0.00014777272938625122
2.24,0.0001326078748125794
2.248,0.00013841343963677283
2.256,0.0001376078345854797
2.264,0.0001592034895966188
2.272,0.00017323017369155476
2.28,0.00018506246174420166
2.288,0.00019553277970477625
2.296,0.00020912125726309545
2.304,0.0002225791683165224
2.312,0.0002298045056138925
2.32,0.00023097278794706415
2.328,0.00023746982412228894
2.336,0.00024197387037245364
2.344,0.00024357548694127658
2.352,0.00025089217820519085
2.36,0.0002531428905197308
2.368,0.0002552984691739945
2.376,0.000258107573768416
2.384,0.00026481897029884523
2.392,0.0002723808584684562
2.4,0.00030141122595988136
2.408,0.00032174088385689646
2.416,0.0003156010976913795
2.424,0.00033702171613439317
2.432,0.00037388462765841683
2.44,0.000383249013500633
2.448,0.0003563164417879196
2.456,0.00032701960260634054
2.464,0.0002817421405262618
2.472,0.00027766737854264216
2.48,0.000283135155390746
2.488,0.0002456192780362274
2.496,0.00020581738931955173
2.504,0.0001766351059010876
2.512,0.00018037146018102864
2.52,0.00017518594332405733
2.528,0.00017577650658495524
2.536,0.00017087485904076875
2.544,0.0001721486161111331
